x,y,z,Bx,By,Bz
0.0025,0,-0.005,-0.134138,-0.00508849,0.417343
0.0025,0,-0.0045,-0.146862,-0.00711342,0.478409
0.0025,0,-0.004,-0.155883,-0.00964146,0.546539
0.0025,0,-0.0035,-0.1586,-0.0125238,0.619326
0.0025,0,-0.003,-0.153169,-0.0153434,0.69196
0.0025,0,-0.0025,-0.140488,-0.0174508,0.757979
0.0025,0,-0.002,-0.125462,-0.0183091,0.81237
0.0025,0,-0.0015,-0.115275,-0.0179783,0.855394
0.0025,0,-0.001,-0.115227,-0.0172032,0.893308
0.0025,0,-0.0005,-0.125907,-0.0169907,0.935084
0.0025,0,0,-0.143423,-0.0181703,0.988477
0.0025,0,0.0005,-0.160867,-0.021243,1.05781
0.0025,0,0.001,-0.169393,-0.0263623,1.14287
0.0025,0,0.0015,-0.159203,-0.0332087,1.23752
0.0025,0,0.002,-0.121945,-0.0407184,1.32837
0.0025,0,0.0025,-0.0552851,-0.0469659,1.3956
0.0025,0,0.003,0.0327335,-0.0497394,1.41895
0.0025,0,0.0035,0.124731,-0.0478101,1.38744
0.0025,0,0.004,0.201904,-0.0417791,1.30529
0.0025,0,0.0045,0.252702,-0.0335616,1.1887
0.0025,0,0.005,0.275611,-0.0251436,1.05709
0.0025,0,0.0055,0.276023,-0.0177846,0.925872
0.0025,0,0.006,0.261551,-0.0119522,0.804185
0.0025,0,0.0065,0.238961,-0.00761051,0.695969
0.0025,0,0.007,0.213122,-0.00450831,0.601963
0.0025,0,0.0075,0.187091,-0.00235416,0.521302
0.0025,0,0.008,0.162569,-0.000891718,0.45249
0.0025,0,0.0085,0.140369,7.98086e-05,0.393898
0.0025,0,0.009,0.120763,0.000708797,0.343993
0.0025,0,0.0095,0.103719,0.00110148,0.301419
0.0025,0,0.01,0.0890544,0.00133262,0.265014
0.003,0,-0.01,-0.0395777,0.000126703,0.115365
0.003,0,-0.0095,-0.0455128,7.13151e-05,0.12845
0.003,0,-0.009,-0.0524692,-1.39484e-05,0.143483
0.003,0,-0.0085,-0.0606232,-0.000141804,0.160823
0.003,0,-0.008,-0.0701698,-0.000330453,0.180913
0.003,0,-0.0075,-0.0813133,-0.000606046,0.204298
0.003,0,-0.007,-0.0942467,-0.00100623,0.231654
0.003,0,-0.0065,-0.109109,-0.00158514,0.263823
0.003,0,-0.006,-0.125906,-0.00241992,0.301842
0.003,0,-0.0055,-0.144359,-0.00361797,0.346958
0.003,0,-0.005,-0.163655,-0.00532103,0.400575
0.003,0,-0.0045,-0.182044,-0.0076938,0.463996
0.003,0,-0.004,-0.196344,-0.0108663,0.537715
0.003,0,-0.0035,-0.201786,-0.0147727,0.619861
0.003,0,-0.003,-0.193432,-0.0188584,0.703921
0.003,0,-0.0025,-0.170636,-0.0219027,0.77812
0.003,0,-0.002,-0.142004,-0.0226385,0.831173
0.003,0,-0.0015,-0.122475,-0.0210739,0.862594
0.003,0,-0.001,-0.122346,-0.0187133,0.884734
0.003,0,-0.0005,-0.141607,-0.0173196,0.913632
0.003,0,0,-0.173272,-0.0180496,0.961307
0.003,0,0.0005,-0.207359,-0.021524,1.03447
0.003,0,0.001,-0.231568,-0.0280867,1.13497
0.003,0,0.0015,-0.230553,-0.037688,1.25801
0.003,0,0.002,-0.187781,-0.0491999,1.38729
0.003,0,0.0025,-0.09433,-0.0595705,1.49172
0.003,0,0.003,0.0381979,-0.0644291,1.53418
0.003,0,0.0035,0.176705,-0.0611662,1.49375
0.003,0,0.004,0.285807,-0.0513225,1.38057
0.003,0,0.0045,0.348118,-0.0389394,1.22627
0.003,0,0.005,0.366913,-0.0273909,1.06296
0.003,0,0.0055,0.355604,-0.0181845,0.910747
0.003,0,0.006,0.3277,-0.0114698,0.777751
0.003,0,0.0065,0.292847,-0.00681697,0.665034
0.003,0,0.007,0.256824,-0.00368936,0.570653
0.003,0,0.0075,0.222675,-0.00162887,0.491834
0.003,0,0.008,0.191778,-0.000294612,0.425877
0.003,0,0.0085,0.164571,0.000552068,0.37046
0.003,0,0.009,0.141007,0.0010736,0.323671
0.003,0,0.0095,0.120801,0.00137922,0.283971
0.003,0,0.01,0.103581,0.00154212,0.250124
0.0035,0,-0.01,-0.044644,0.000117315,0.109479
0.0035,0,-0.0095,-0.0512914,6.64073e-05,0.121549
0.0035,0,-0.009,-0.0590991,-1.2197e-05,0.135381
0.0035,0,-0.0085,-0.0682841,-0.000130587,0.151306
0.0035,0,-0.008,-0.0790988,-0.000306381,0.16974
0.0035,0,-0.0075,-0.0918304,-0.000565514,0.191211
0.0035,0,-0.007,-0.106792,-0.000946577,0.216401
0.0035,0,-0.0065,-0.124296,-0.00150757,0.246204
0.0035,0,-0.006,-0.144594,-0.00233631,0.281816
0.0035,0,-0.0055,-0.167736,-0.00356591,0.324841
0.0035,0,-0.005,-0.193277,-0.0053953,0.377418
0.0035,0,-0.0045,-0.219663,-0.0081077,0.442253
0.0035,0,-0.004,-0.243074,-0.0120527,0.522174
0.0035,0,-0.0035,-0.255709,-0.0174739,0.618114
0.0035,0,-0.003,-0.24552,-0.0239005,0.723449
0.0035,0,-0.0025,-0.204548,-0.029073,0.816496
0.0035,0,-0.002,-0.147603,-0.029625,0.868586
0.0035,0,-0.0015,-0.109928,-0.0253832,0.876454
0.0035,0,-0.001,-0.111521,-0.0200377,0.869207
0.0035,0,-0.0005,-0.146332,-0.0167656,0.876481
0.0035,0,0,-0.200271,-0.0167974,0.913815
0.0035,0,0.0005,-0.260308,-0.0205934,0.988788
0.0035,0,0.001,-0.312166,-0.0287507,1.10656
0.0035,0,0.0015,-0.33434,-0.0420358,1.26838
0.0035,0,0.002,-0.294586,-0.0601468,1.46018
0.0035,0,0.0025,-0.163509,-0.0786776,1.63391
0.0035,0,0.003,0.0459016,-0.0880199,1.71331
0.0035,0,0.0035,0.263435,-0.0815777,1.65248
0.0035,0,0.004,0.416581,-0.0639087,1.47892
0.0035,0,0.0045,0.482621,-0.0444562,1.26093
0.0035,0,0.005,0.482456,-0.0286583,1.05308
0.0035,0,0.0055,0.446925,-0.0175047,0.877307
0.0035,0,0.006,0.397707,-0.0101493,0.735095
0.0035,0,0.0065,0.346362,-0.00545732,0.621153
0.0035,0,0.007,0.298179,-0.0025136,0.529435
0.0035,0,0.0075,0.255179,-0.00068735,0.454873
0.0035,0,0.008,0.217806,0.000430158,0.393581
0.0035,0,0.0085,0.185791,0.00109796,0.34266
0.0035,0,0.009,0.158585,0.00147964,0.299951
0.0035,0,0.0095,0.135565,0.00167896,0.263833
0.0035,0,0.01,0.116122,0.00176232,0.233069
0.004,0,-0.01,-0.0489854,0.000110239,0.103
0.004,0,-0.0095,-0.0562045,6.49906e-05,0.113943
0.004,0,-0.009,-0.0646948,-5.10467e-06,0.126429
0.004,0,-0.0085,-0.0747096,-0.00011107,0.140747
0.004,0,-0.008,-0.0865557,-0.000269184,0.157265
0.004,0,-0.0075,-0.100603,-0.000503864,0.176457
0.004,0,-0.007,-0.117296,-0.000852378,0.198957
0.004,0,-0.0065,-0.137152,-0.00137273,0.225632
0.004,0,-0.006,-0.160751,-0.00215706,0.257711
0.004,0,-0.0055,-0.188669,-0.00335461,0.296994
0.004,0,-0.005,-0.221269,-0.00521069,0.346205
0.004,0,-0.0045,-0.258116,-0.00812941,0.409545
0.004,0,-0.004,-0.296332,-0.0127581,0.49338
